Grota w Mechowej,Niż Polski
Schronisko w Połchowie,Niż Polski
Jaskinia w Kępie Redłowskiej,Niż Polski
Jaskinia Śpiącego Szweda,Niż Polski
Czarcie Okna,Niż Polski
Nisze nad Czarcimi Oknami,Niż Polski
Grota Mirachowska I,Niż Polski
Grota Mirachowska II,Niż Polski
Jaskinia Bajka I,Niż Polski
Jaskinia Bajka II,Niż Polski
Jaskinia Klonowa,Niż Polski
Jaskinia pod Wierzbą,Niż Polski
Płaska Nisza,Niż Polski
Ciasna Dziura,Niż Polski
Szczelina w Kurowie,Niż Polski
Dziura w Maruszynie,Pieniny
Schronisko w Szaflarach,Pieniny
Jaskinia w Szaflarach,Pieniny
Jaskinia w Obłazowej,Pieniny
Schronisko w Obłazowej I,Pieniny
Schronisko w Obłazowej II,Pieniny
Schronisko w Kramnicy,Pieniny
Schronisko Wodne pod Kramnicą,Pieniny
Schronisko w Lorencowych Skałkach,Pieniny
Schronisko w Borsukowej Skale I,Pieniny
Schronisko w Borsukowej Skale II,Pieniny
Schronisko w Borsukowej Skale III,Pieniny
Schronisko w Dziurowej Skale,Pieniny
Jaskinia w Dziurowej Skale,Pieniny
Schronisko w Żorze,Pieniny
Prosta Dziura,Pieniny
Krzywa Dziura,Pieniny
Schronisko przy Zielonej Drodze,Pieniny
Schronisko w Zielonych Skałkach,Pieniny
Schronisko w Zielonych Skałkach Górne,Pieniny
Schronisko Czorsztyńskie,Pieniny
Jaskinia w Starym Puszczykowie,Niż Polski
Nisze w Bielawach,Niż Polski
Komora Kryształowa,Niż Polski
Groty w Nagórzycach,Niż Polski
Jaskinia Wielka Śnieżna,Tatry
Jaskinia Wielka Litworowa,Tatry
Jaskinia nad Kotlinami,Tatry
Jasny Awen,Tatry
Jaskinia Wilcza,Tatry
Jaskinia Śnieżna,Tatry
Jaskinia w Antolce,Niecka Nidziańska
Schronisko w Bogucicach,Niecka Nidziańska
Jaskinia w Czarkowych,Niecka Nidziańska
Jaskinia koło Skorocic,Niecka Nidziańska
Jaskinia w Skotnikach Małych,Niecka Nidziańska
Jaskinia Magierowska,Niecka Nidziańska
Lejowa Studnia (N-2.5),Niecka Nidziańska
Jaskinia w Krzyżanowicach Górna,Niecka Nidziańska
Jaskinia Lucyny,Niecka Nidziańska
Jaskinia w Gackach,Niecka Nidziańska
Schron w Marzęcinie,Niecka Nidziańska
Jaskinia w Skorocicach wzmiankowana przez Sawickiego,Niecka Nidziańska
Jaskinia Żydowska,Niecka Nidziańska
Schronisko w Chwałowicach,Niecka Nidziańska
Schronisko przy Rowie,Niecka Nidziańska
Jaskinia Lisia,Niecka Nidziańska
Schronisko przy Lisiej,Niecka Nidziańska
Schronisko Bajkowe,Niecka Nidziańska
Schronisko Ciepłe,Region Świętokrzyski
Schronisko Równoległe,Region Świętokrzyski
Jaskinia Debiutantów,Region Świętokrzyski
